


     2-D ITERATION BEHAVIOR

   IT    X-RES      Y-RES

  281 0.2621E-04 0.1029E-06
  282 0.2613E-04 0.1025E-06
  283 0.2601E-04 0.1022E-06
  284 0.2593E-04 0.1018E-06
  285 0.2581E-04 0.1015E-06
  286 0.2573E-04 0.1011E-06
  287 0.2561E-04 0.1008E-06
  288 0.2553E-04 0.1004E-06
  289 0.2542E-04 0.1001E-06
  290 0.2534E-04 0.9967E-07
  291 0.2523E-04 0.9935E-07
  292 0.2515E-04 0.9898E-07
  293 0.2504E-04 0.9866E-07
  294 0.2496E-04 0.9831E-07
  295 0.2485E-04 0.9799E-07
  296 0.2477E-04 0.9766E-07
  297 0.2467E-04 0.9731E-07
  298 0.2459E-04 0.9701E-07
  299 0.2449E-04 0.9667E-07
  300 0.2441E-04 0.9637E-07
  301 0.2431E-04 0.9604E-07
  302 0.2423E-04 0.9574E-07
  303 0.2413E-04 0.9541E-07
  304 0.2405E-04 0.9512E-07
  305 0.2396E-04 0.9479E-07
  306 0.2388E-04 0.9450E-07
  307 0.2379E-04 0.9418E-07
  308 0.2370E-04 0.9389E-07
  309 0.2362E-04 0.9358E-07
  310 0.2353E-04 0.9329E-07
  311 0.2346E-04 0.9298E-07
  312 0.2337E-04 0.9270E-07
  313 0.2330E-04 0.9239E-07
  314 0.2321E-04 0.9211E-07
  315 0.2313E-04 0.9181E-07
  316 0.2305E-04 0.9153E-07
  317 0.2298E-04 0.9124E-07
  318 0.2289E-04 0.9096E-07
  319 0.2282E-04 0.9067E-07
  320 0.2274E-04 0.9040E-07
  321 0.2266E-04 0.9011E-07
  322 0.2258E-04 0.8984E-07
  323 0.2251E-04 0.8956E-07
  324 0.2243E-04 0.8929E-07
  325 0.2236E-04 0.8901E-07
  326 0.2228E-04 0.8875E-07
  327 0.2221E-04 0.8848E-07
  328 0.2213E-04 0.8822E-07
  329 0.2206E-04 0.8796E-07
  330 0.2198E-04 0.8771E-07
  331 0.2191E-04 0.1333E-06
  332 0.2184E-04 0.2507E-06
  333 0.2177E-04 0.3223E-06
  334 0.2170E-04 0.3530E-06
  335 0.2163E-04 0.3745E-06
  336 0.2155E-04 0.3460E-06
  337 0.2149E-04 0.3030E-06
  338 0.2141E-04 0.2847E-06
  339 0.2135E-04 0.2521E-06
  340 0.2128E-04 0.2142E-06
  341 0.2121E-04 0.2070E-06
  342 0.2114E-04 0.2109E-06
  343 0.2107E-04 0.2093E-06
  344 0.2100E-04 0.2007E-06
  345 0.2094E-04 0.1911E-06
  346 0.2087E-04 0.1836E-06
  347 0.2081E-04 0.1773E-06
  348 0.2075E-04 0.1715E-06
  349 0.2069E-04 0.1655E-06
  350 0.2063E-04 0.1629E-06
  351 0.2057E-04 0.1615E-06
  352 0.2052E-04 0.1597E-06
  353 0.2046E-04 0.1579E-06
  354 0.2041E-04 0.1558E-06
  355 0.2036E-04 0.1537E-06
  356 0.2030E-04 0.1515E-06
  357 0.2025E-04 0.1492E-06
  358 0.2020E-04 0.1469E-06
  359 0.2015E-04 0.1447E-06
  360 0.2010E-04 0.1424E-06
  361 0.2005E-04 0.1402E-06
  362 0.1999E-04 0.1379E-06
  363 0.1994E-04 0.1369E-06
  364 0.1989E-04 0.1362E-06
  365 0.1983E-04 0.1353E-06
  366 0.1978E-04 0.1345E-06
  367 0.1973E-04 0.1335E-06
  368 0.1967E-04 0.1325E-06
  369 0.1961E-04 0.1315E-06
  370 0.1956E-04 0.1304E-06
  371 0.1950E-04 0.1293E-06
  372 0.1944E-04 0.1282E-06
  373 0.1939E-04 0.1270E-06
  374 0.1933E-04 0.1259E-06
  375 0.1927E-04 0.1247E-06
  376 0.1922E-04 0.1235E-06
  377 0.1916E-04 0.1227E-06
  378 0.1911E-04 0.1223E-06
  379 0.1905E-04 0.1218E-06
  380 0.1900E-04 0.1212E-06
  381 0.1894E-04 0.1206E-06
  382 0.1888E-04 0.1200E-06
  383 0.1883E-04 0.1194E-06
  384 0.1877E-04 0.1187E-06
  385 0.1872E-04 0.1181E-06
  386 0.1866E-04 0.1174E-06
  387 0.1860E-04 0.1167E-06
  388 0.1855E-04 0.1159E-06
  389 0.1849E-04 0.1152E-06
  390 0.1844E-04 0.1145E-06
  391 0.1838E-04 0.1137E-06
  392 0.1833E-04 0.1130E-06
  393 0.1827E-04 0.1126E-06
  394 0.1821E-04 0.1123E-06
  395 0.1816E-04 0.1118E-06
  396 0.1810E-04 0.1114E-06
  397 0.1805E-04 0.1110E-06
  398 0.1799E-04 0.1105E-06
  399 0.1793E-04 0.1101E-06
  400 0.1788E-04 0.1096E-06
  401 0.1783E-04 0.1091E-06
  402 0.1777E-04 0.1086E-06
  403 0.1772E-04 0.1081E-06
  404 0.1767E-04 0.1076E-06
  405 0.1762E-04 0.1070E-06
  406 0.1756E-04 0.1065E-06
  407 0.1751E-04 0.1059E-06
  408 0.1746E-04 0.1054E-06
  409 0.1741E-04 0.1049E-06
  410 0.1736E-04 0.1046E-06
  411 0.1731E-04 0.1042E-06
  412 0.1725E-04 0.1039E-06
  413 0.1720E-04 0.1035E-06
  414 0.1715E-04 0.1032E-06
  415 0.1710E-04 0.1028E-06
  416 0.1705E-04 0.1024E-06
  417 0.1700E-04 0.1020E-06
  418 0.1695E-04 0.1016E-06
  419 0.1690E-04 0.1012E-06
  420 0.1685E-04 0.1008E-06
  421 0.1680E-04 0.1004E-06
  422 0.1675E-04 0.9994E-07
  423 0.1670E-04 0.9950E-07
  424 0.1665E-04 0.9906E-07
  425 0.1660E-04 0.9862E-07
  426 0.1655E-04 0.9817E-07
  427 0.1650E-04 0.9778E-07
  428 0.1645E-04 0.9748E-07
  429 0.1640E-04 0.9717E-07
  430 0.1635E-04 0.9686E-07
  431 0.1630E-04 0.9654E-07
  432 0.1626E-04 0.9621E-07
  433 0.1621E-04 0.9587E-07
  434 0.1616E-04 0.9554E-07
  435 0.1611E-04 0.9519E-07
  436 0.1606E-04 0.9484E-07
  437 0.1602E-04 0.9448E-07
  438 0.1597E-04 0.9412E-07
  439 0.1592E-04 0.9375E-07
  440 0.1588E-04 0.9338E-07
  441 0.1583E-04 0.9300E-07
  442 0.1579E-04 0.9263E-07
  443 0.1574E-04 0.9224E-07
  444 0.1570E-04 0.9186E-07
  445 0.1565E-04 0.9147E-07
  446 0.1561E-04 0.9114E-07
  447 0.1556E-04 0.9085E-07
  448 0.1552E-04 0.9056E-07
  449 0.1547E-04 0.9026E-07
  450 0.1543E-04 0.8996E-07
  451 0.1538E-04 0.8966E-07
  452 0.1534E-04 0.8934E-07
  453 0.1529E-04 0.8903E-07
  454 0.1525E-04 0.8871E-07
  455 0.1521E-04 0.8839E-07
  456 0.1516E-04 0.8806E-07
  457 0.1512E-04 0.8773E-07
  458 0.1507E-04 0.8740E-07
  459 0.1503E-04 0.8706E-07
  460 0.1499E-04 0.8672E-07
  461 0.1494E-04 0.8638E-07
  462 0.1490E-04 0.8604E-07
  463 0.1486E-04 0.8569E-07
  464 0.1482E-04 0.8534E-07
  465 0.1477E-04 0.8499E-07
  466 0.1473E-04 0.8472E-07
  467 0.1469E-04 0.8444E-07
  468 0.1465E-04 0.8416E-07
  469 0.1460E-04 0.8387E-07
  470 0.1456E-04 0.8358E-07
  471 0.1452E-04 0.8329E-07
  472 0.1448E-04 0.8300E-07
  473 0.1444E-04 0.8270E-07
  474 0.1440E-04 0.8240E-07
  475 0.1435E-04 0.8209E-07
  476 0.1431E-04 0.8179E-07
  477 0.1427E-04 0.8148E-07
  478 0.1423E-04 0.8117E-07
  479 0.1419E-04 0.8085E-07
  480 0.1415E-04 0.8054E-07
  481 0.1411E-04 0.8022E-07
  482 0.1407E-04 0.7990E-07
  483 0.1403E-04 0.7958E-07
  484 0.1399E-04 0.7926E-07
  485 0.1395E-04 0.7895E-07
  486 0.1391E-04 0.7869E-07
  487 0.1387E-04 0.7842E-07
  488 0.1383E-04 0.7815E-07
  489 0.1379E-04 0.7787E-07
  490 0.1375E-04 0.7760E-07
  491 0.1371E-04 0.7732E-07
  492 0.1367E-04 0.7704E-07
  493 0.1363E-04 0.7675E-07
  494 0.1359E-04 0.7647E-07
  495 0.1355E-04 0.7618E-07
  496 0.1351E-04 0.7590E-07
  497 0.1347E-04 0.7561E-07
  498 0.1344E-04 0.7531E-07
  499 0.1340E-04 0.7502E-07
  500 0.1336E-04 0.7473E-07
